State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Alabama,44,48,56,62,70,77,80,79,74,63,54,47
Alaska,1,3,11,24,40,50,55,52,43,26,11,4
Arizona,42,46,51,58,66,76,80,79,73,62,50,43
Arkansas,39,44,52,60,69,76,81,79,72,62,50,42
California,45,49,52,57,63,70,75,75,70,62,51,45
Colorado,24,28,36,43,53,62,68,66,58,47,34,25
Connecticut,26,28,37,47,58,66,72,70,62,51,41,31
Delaware,34,36,44,53,63,72,77,75,68,57,47,38
Florida,58,60,65,69,75,80,82,82,79,73,66,60
Georgia,46,49,56,63,70,77,80,79,74,64,56,48
Hawaii,67,67,68,69,70,71,72,73,73,72,70,68
Idaho,24,28,36,44,52,59,66,65,56,46,33,24
Illinois,25,30,41,52,62,72,75,73,66,54,42,30
Indiana,26,31,41,51,62,71,74,72,65,54,42,31
Iowa,18,24,36,49,60,70,74,71,63,51,36,23
Kansas,29,35,44,54,63,73,79,77,68,56,42,32
Kentucky,33,37,46,55,64,72,76,75,68,57,46,37
Louisiana,49,53,60,66,74,80,82,82,77,67,58,51
Maine,14,17,27,39,51,61,66,64,55,44,34,20
Maryland,32,35,43,53,62,71,75,74,67,56,46,37
Massachusetts,25,27,36,45,56,65,70,69,61,50,41,30
Michigan,19,21,31,43,55,64,68,67,59,48,36,25
Minnesota,8,15,28,42,56,65,69,67,57,45,28,14
Mississippi,44,49,56,63,71,78,81,80,75,64,54,47
Missouri,29,35,45,55,64,73,78,76,68,56,44,33
Montana,18,24,33,43,52,61,66,66,55,44,30,21
Nebraska,23,29,38,48,59,69,74,72,63,51,35,26
Nevada,30,36,41,47,56,65,72,70,62,51,38,31
New Hampshire,18,21,31,42,54,63,68,66,57,46,36,24
New Jersey,31,33,41,50,61,69,75,73,66,54,45,35
New Mexico,34,39,45,52,61,70,73,71,65,54,42,35
New York,21,23,32,44,55,64,69,67,59,48,38,27
North Carolina,40,43,50,58,66,74,78,76,70,60,51,43
North Dakota,8,15,27,42,55,64,69,67,56,44,26,13
Ohio,27,30,40,50,60,69,73,71,64,53,42,32
Oklahoma,36,42,50,59,68,77,82,81,72,61,48,39
Oregon,33,37,42,46,53,60,66,66,59,49,39,33
Pennsylvania,26,28,37,48,58,66,71,69,62,50,41,31
Rhode Island,29,31,38,47,57,65,71,70,63,53,44,34
South Carolina,44,47,55,62,70,76,80,79,73,63,54,46
South Dakota,16,23,33,45,57,67,73,71,60,48,31,20
Tennessee,36,41,49,57,66,74,77,76,70,58,48,40
Texas,46,50,58,65,73,79,82,81,76,66,55,47
Utah,26,32,40,47,56,66,73,71,62,50,36,27
Vermont,16,19,29,41,54,63,67,65,57,45,35,23
Virginia,35,38,45,54,63,71,75,74,67,56,47,38
Washington,32,36,42,47,54,60,66,66,59,49,38,32
West Virginia,30,33,42,51,60,68,72,71,64,53,43,34
Wisconsin,13,19,30,43,56,65,69,67,58,47,32,19
Wyoming,19,24,32,40,50,60,66,65,55,43,29,21